,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0,47,49,48,50,66,51,3,21,4,31,32,70,15,13,68,12,25,14,1,26,37,38,24,27,42,34,45,40,28,33,56,46,5,53,52,18,17,69,67,71,22,35,11,59,2,29,30,19,16,20,23,6,63,7,44,36,39,41,43,60,65,54,55,57,61,10,8,9,62,64,58
1,1,52,69,67,71,16,19,30,44,41,39,36,43,54,29,20,57,70,23,10,55,58,62,64,66,0,68,15,8,48,9,47,49,50,51,5,35,13,28,14,18,17,46,3,37,38,21,40,22,4,6,31,32,12,25,7,26,2,27,24,42,34,45,33,11,61,56,53,63,60,65,59
2,2,60,35,22,26,21,17,19,16,66,61,20,59,65,18,11,64,58,62,32,31,63,24,27,30,40,23,45,29,28,25,67,69,71,68,37,38,0,1,70,4,33,43,44,41,36,39,3,12,50,47,49,46,42,34,51,5,53,52,7,48,13,15,14,56,6,57,54,55,10,9,8
3,3,49,47,48,56,4,5,42,34,50,70,12,13,15,45,46,37,38,33,51,53,21,68,14,40,0,66,32,31,35,6,18,7,25,41,39,44,36,43,71,17,52,55,57,67,69,54,59,26,28,8,24,27,10,1,22,9,20,16,19,2,63,60,23,61,65,11,29,30,64,62,58
4,4,33,51,3,14,12,70,45,5,53,47,49,46,15,50,48,42,34,56,40,13,66,38,37,17,0,27,24,35,68,21,6,7,9,26,41,43,36,44,39,52,32,31,18,28,57,69,67,54,25,71,11,55,10,22,1,65,8,2,16,19,59,20,60,61,63,30,23,29,64,62,58
5,5,68,3,42,34,4,47,49,18,48,56,50,6,12,7,45,33,70,51,44,41,43,36,39,46,53,57,67,69,71,13,15,35,38,37,10,8,17,52,25,54,0,55,14,21,40,9,63,1,20,66,32,31,16,19,22,59,23,26,24,27,28,61,60,65,2,30,29,64,62,58,11
6,6,7,10,9,8,57,56,53,12,54,5,55,3,46,4,50,39,43,44,41,36,13,48,15,49,47,68,14,45,51,52,35,33,67,69,42,34,71,70,17,1,38,37,40,18,22,19,16,66,20,0,61,28,21,31,32,23,26,60,24,27,65,30,2,25,59,63,29,58,62,64,11
7,7,6,10,53,9,8,12,57,56,54,5,55,45,35,4,3,39,41,43,44,36,15,50,14,51,13,48,49,47,68,46,33,40,52,69,67,71,34,42,22,66,17,70,1,18,38,37,16,19,20,26,0,60,2,23,61,21,28,24,27,31,32,65,30,25,29,63,59,58,62,64,11
8,8,10,55,9,57,54,7,6,71,43,44,36,41,39,52,67,69,56,1,5,20,53,15,12,70,13,14,3,16,19,35,23,48,47,49,68,29,4,46,50,34,42,51,45,40,38,37,30,33,18,66,17,0,64,62,58,21,22,2,32,31,61,28,25,63,26,60,27,24,59,65,11
9,9,10,8,57,6,54,7,55,43,41,39,36,44,52,14,67,69,53,1,71,4,56,15,12,5,51,33,70,35,13,19,16,20,46,17,3,68,48,45,40,49,47,50,37,38,30,23,34,42,66,29,18,0,58,64,62,22,24,27,65,2,61,28,21,11,26,60,31,32,25,63,59
10,10,57,8,54,9,55,6,7,43,41,39,36,44,52,67,69,1,15,71,56,70,5,53,16,19,13,12,14,35,20,3,68,46,48,30,4,47,49,50,51,38,37,42,34,23,45,40,33,29,58,62,64,18,66,17,0,22,21,61,2,28,31,32,25,26,24,27,63,60,65,59,11
11,11,24,27,65,28,26,59,31,32,60,58,62,64,25,61,21,30,63,29,66,2,17,22,23,51,33,14,0,4,16,19,40,70,20,38,37,18,46,1,45,15,48,49,47,67,69,50,13,42,34,71,3,52,68,12,35,53,39,36,44,43,41,56,5,54,9,55,57,10,6,7,8
